N,fp32 abs,fp16 abs,fp32 rel,fp16 rel,fp32 |sum-1|,fp16 |sum-1|,abs gap,sum gap
128,9.552246438282452e-08,0.0003441933093896732,2.61113975990835e-07,0.03995034522476884,1.6271587810479105e-07,0.0005171895027160645,3603.270828632025,3178.482080175286
512,2.873956153615076e-08,0.000254735876593859,2.7824580389888763e-07,0.19074250918082147,1.4438509765568597e-07,0.0007993578910827637,8863.596484359487,5536.2908226788495
1024,1.5441453282694084e-08,0.0001738728213650509,2.8616836343208084e-07,0.9989613724641657,1.499845865282623e-07,0.0007673501968383789,11260.133238878352,5116.193700969289
2048,5.869368505106998e-08,0.0001666256954293288,6.229624771749885e-07,1.0,2.4306373802573944e-07,0.0012090802192687988,2838.9032871993995,4974.3340125081195
4096,2.270201052145815e-08,0.0001389375694554329,5.892503258614259e-07,1.0522688776933493,2.591840821963842e-07,0.00199735164642334,6120.055724760934,7706.305223288918
8192,4.755375715426169e-08,0.00015677894391886993,6.544106698507049e-07,1.2684112010141158,2.805374226255708e-07,0.002300858497619629,3296.8781711671686,8201.609881796594
